text,label
"Congratulations! You have won $1000. Click http://freegift.com now.",1
"Dear customer, your account is suspended. Verify immediately at http://secure-login.com.",1
"Claim your free iPhone today at https://gift-now.com.",1
"Your PayPal account has been limited. Login here http://paypal-secure.xyz.",1
"Urgent! Your bank account is locked. Verify now.",1
"You've won a lottery. Click here to claim your prize.",1
"Amazon Security Alert. Confirm your account immediately.",1
"Update your password within 24 hours or your account will be disabled.",1
"Click here to receive your tax refund today.",1
"You have received a secure message. Open attachment now.",1
"Microsoft detected suspicious login. Verify immediately.",1
"Netflix payment failed. Update billing information now.",1
"Confirm your Apple ID using this secure link.",1
"Your package cannot be delivered. Pay shipping fee here.",1
"Claim your free vacation now.",1
"Bank verification required. Click below.",1
"Winner! Claim your cash reward now.",1
"Security Alert! Reset your password immediately.",1
"Limited-time offer. Click to win a new phone.",1
"Verify your email account to avoid suspension.",1
"Meeting scheduled tomorrow at 10 AM.",0
"Please find attached the project report.",0
"Let's have lunch together tomorrow.",0
"Happy Birthday! Have a wonderful day.",0
"The presentation starts at 2 PM today.",0
"Can you review the latest document?",0
"Thank you for your purchase.",0
"Our team meeting has been postponed.",0
"Please send me the updated file.",0
"We will discuss the project next week.",0
"Reminder: Submit your assignment before Friday.",0
"The event has been rescheduled.",0
"Your food order has been confirmed.",0
"Dinner is ready. Please come downstairs.",0
"Your interview is scheduled for Monday.",0
"Here is the invoice you requested.",0
"Good morning. Hope you are doing well.",0
"The class begins at 9 AM.",0
"Let's catch up this weekend.",0
"Thank you for your feedback.",0
"The meeting room has changed.",0
"Please review the attached budget.",0
"Our vacation starts next month.",0
"The package has been shipped successfully.",0
"I have completed the coding task.",0
"The weather is pleasant today.",0
"We appreciate your support.",0
"Your subscription has been renewed successfully.",0
"The report has been approved.",0
"Looking forward to meeting you tomorrow.",0